university,URL,Acronym,country,ranking_latin_america,ranking_world,Presence, Impact ,Opening ,excellence ,accessibility_errors,accessibility_alerts,accessibility_features,structural_elements,html5_aria,contrast_errors
Universidade de São Paulo USP,http://www.usp.br/,USP,Brasil,1,79,80,127,137,70,36,38,5,66,36,137
Universidad Nacional Autónoma de México,http://www.unam.mx/,UNAM,México,2,155,79,92,279,339,1,112,26,30,17,13
Universidade Federal do Rio de Janeiro,http://ufrj.br/,UFRJ,Brasil,3,212,39,213,312,348,7,25,25,54,5,42
Universidade Estadual de Campinas UNICAMP,http://www.unicamp.br/,UNICAMP,Brasil,4,286,292,319,298,331,2,68,52,36,24,24
Universidad de Chile,http://www.uchile.cl/,UCHILE,Chile,5,357,225,330,570,428,1,184,43,64,8,32
Universidade Estadual Paulista Júlio de Mesquita Filho,http://www.unesp.br/,UNESP,Brasil,6,362,366,559,103,369,55,22,14,57,66,78
Universidade Federal do Rio Grande do Sul UFRGS,http://www.ufrgs.br/,UFRGS,Brasil,7,368,223,399,471,421,7,25,25,54,5,42
Universidad de Buenos Aires,http://www.uba.ar/,UBA,Argentina,8,387,284,426,634,445,14,11,24,40,21,15
Universidade Federal de Minas Gerais UFMG,http://ufmg.br/,UFMG,Brasil,9,422,346,584,435,458,6,155,37,77,268,67
Universidade Federal de Santa Catarina UFSC,http://ufsc.br/,UFSC,Brasil,10,433,154,324,782,644,33,25,1,73,5,8
Pontificia Universidad Católica de Chile,http://www.uc.cl/,UC,Chile,11,457,91,723,913,406,3,20,36,44,0,27
Universidad Nacional de Colombia,http://unal.edu.co/,UNAL,Colombia,12,502,252,250,748,907,18,50,61,44,7,41
Universidade Federal do Paraná,http://www.ufpr.br/,UFPR,Brasil,13,553,30,574,738,817,22,112,18,55,18,8
Universidade de Brasília UNB,http://www.unb.br/,UNB,Brasil,14,594,414,563,740,821,26,35,25,56,6,2
Universidade Federal Fluminense,http://www.uff.br/,UFF,Brasil,15,596,259,407,1118,930,17,44,23,63,39,31
Universidad de los Andes Colombia,http://uniandes.edu.co/,UNIANDES,Colombia,16,617,441,648,423,854,45,149,74,140,360,19
Universidad de Puerto Rico,http://www.upr.edu/,UPR,Puerto Rico,17,620,286,845,544,714,0,23,15,34,9,6
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,http://www.cinvestav.mx/,CINVESTAV,México,18,672,2511,1385,165,593,75,50,148,46,55,21
Universidade Federal do Ceará,http://www.ufc.br/,UFC,Brasil,19,714,603,850,702,875,3,18,38,27,9,6
Universidade Federal da Bahia,http://www.ufba.br/,UFBA,Brasil,20,731,525,727,837,976,35,23,14,25,8,20
Universidade Federal do Rio Grande do Norte,http://ufrn.br/,UFRN,Brasil,21,734,645,754,751,963,29,10,5,95,72,19
Universidade Federal de Goiás UFG,http://www.ufg.br/,UFG,Brasil,22,774,52,849,889,1092,16,130,70,57,35,41
Universidade do Estado do Rio de Janeiro UERJ,http://www.uerj.br/,UERJ,Brasil,23,775,765,1359,304,813,34,53,18,52,46,68
Universidade Federal de Pernambuco,http://www.ufpe.br/,UFPE,Brasil,24,788,758,1128,794,844,14,1588,44,59,184,16
